# t_ms,src,dport,csp_flags,is_rdp,index,epoch,dropped
3385396787,5425,9,0x00,0,0,0,0
3385397006,5425,9,0x00,0,1,0,1
3385397219,5425,9,0x00,0,2,0,1
3385397433,5425,9,0x00,0,3,0,1
3385397646,5425,9,0x00,0,4,0,0
3385397865,5425,9,0x00,0,5,0,0
3385398084,5425,9,0x00,0,6,0,0
3385398303,5425,9,0x00,0,7,0,0
3385398522,5425,9,0x00,0,8,0,0
3385398741,5425,9,0x00,0,9,0,0
3385398960,5425,9,0x00,0,10,0,0
3385399179,5425,9,0x00,0,11,0,0
3385399398,5425,9,0x00,0,12,0,0
3385399617,5425,9,0x00,0,13,0,0
3385399836,5425,9,0x00,0,14,0,0
3385400055,5425,9,0x00,0,15,0,0
3385400274,5425,9,0x00,0,16,0,1
3385400488,5425,9,0x00,0,17,0,1
3385400701,5425,9,0x00,0,18,0,1
3385400915,5425,9,0x00,0,19,0,1
3385401128,5425,9,0x00,0,20,0,1
3385401342,5425,9,0x00,0,21,0,1
3385401555,5425,9,0x00,0,22,0,1
3385401769,5425,9,0x00,0,23,0,1
3385401982,5425,9,0x00,0,24,0,0
3385402201,5425,9,0x00,0,25,0,0
3385402420,5425,9,0x00,0,26,0,0
3385402639,5425,9,0x00,0,27,0,0
3385402858,5425,9,0x00,0,28,0,1
3385403072,5425,9,0x00,0,29,0,0
3385403291,5425,9,0x00,0,30,0,0
3385403510,5425,9,0x00,0,31,0,0
3385403729,5425,9,0x00,0,32,0,0
3385403948,5425,9,0x00,0,33,0,0
3385404167,5425,9,0x00,0,34,0,0
3385404386,5425,9,0x00,0,35,0,0
3385404605,5425,9,0x00,0,36,0,0
3385404824,5425,9,0x00,0,37,0,1
3385405037,5425,9,0x00,0,38,0,0
3385405256,5425,9,0x00,0,39,0,0
3385405475,5425,9,0x00,0,40,0,0
3385405694,5425,9,0x00,0,41,0,0
3385405913,5425,9,0x00,0,42,0,1
3385406126,5425,9,0x00,0,43,0,1
3385406340,5425,9,0x00,0,44,0,0
3385406559,5425,9,0x00,0,45,0,0
3385406778,5425,9,0x00,0,46,0,1
3385406991,5425,9,0x00,0,47,0,1
3385407205,5425,9,0x00,0,48,0,0
3385407424,5425,9,0x00,0,49,0,0
3385407643,5425,9,0x00,0,50,0,0
3385407862,5425,9,0x00,0,51,0,0
3385408081,5425,9,0x00,0,52,0,0
3385408300,5425,9,0x00,0,53,0,0
3385408518,5425,9,0x00,0,54,0,0
3385408737,5425,9,0x00,0,55,0,0
