# per-packet: t_ms,src,dst,dport,csp_flags,is_rdp,rdp_flags,rdp_seq,rdp_ack,dtp_offset,dtp_frag,rtt_paired,rtt_ms,dir
# window: #WINDOW,t_ms,conn_ovf_delta,buffer_out_delta,buffer_remaining,inferred_loss,dups,reorders,suspect,suspect_flags
#   note: *_delta are per-window; inferred_loss/dups/reorders are cumulative run totals
# remote: #REMOTE,t_ms,node,iface,status,tx,rx,txe,rxe,drop,autherr,frame,txb,rxb,reboot
#WINDOW,4150936887,0,0,7998,0,0,0,0,0x0
4150937420,20,5427,9,0x00,0,,,,0,0,,,tx
4150937865,20,5427,9,0x00,0,,,,248,1,,,tx
#WINDOW,4150937966,0,0,7997,0,0,0,0,0x0
4150938306,20,5427,9,0x00,0,,,,496,2,,,tx
4150938751,20,5427,9,0x00,0,,,,744,3,,,tx
#WINDOW,4150939052,0,0,7997,0,0,0,0,0x0
4150939197,20,5427,9,0x00,0,,,,992,4,,,tx
4150939643,20,5427,9,0x00,0,,,,1240,5,,,tx
4150940088,20,5427,9,0x00,0,,,,1488,6,,,tx
#WINDOW,4150940088,0,0,7997,0,0,0,0,0x0
4150940533,20,5427,9,0x00,0,,,,1736,7,,,tx
4150940973,20,5427,9,0x00,0,,,,1984,8,,,tx
#WINDOW,4150941174,0,0,7997,0,0,0,0,0x0
4150941419,20,5427,9,0x00,0,,,,2232,9,,,tx
4150941864,20,5427,9,0x00,0,,,,2480,10,,,tx
#WINDOW,4150942265,0,0,7997,0,0,0,0,0x0
4150942309,20,5427,9,0x00,0,,,,2728,11,,,tx
4150942755,20,5427,9,0x00,0,,,,2976,12,,,tx
4150943200,20,5427,9,0x00,0,,,,3224,13,,,tx
#WINDOW,4150943300,0,0,7997,0,0,0,0,0x0
4150943646,20,5427,9,0x00,0,,,,3472,14,,,tx
4150944091,20,5427,9,0x00,0,,,,3720,15,,,tx
#WINDOW,4150944391,0,0,7997,0,0,0,0,0x0
4150944537,20,5427,9,0x00,0,,,,3968,16,,,tx
4150944982,20,5427,9,0x00,0,,,,4216,17,,,tx
4150945428,20,5427,9,0x00,0,,,,4464,18,,,tx
#WINDOW,4150945428,0,0,7997,0,0,0,0,0x0
4150945873,20,5427,9,0x00,0,,,,4712,19,,,tx
4150946319,20,5427,9,0x00,0,,,,4960,20,,,tx
#WINDOW,4150946519,0,0,7997,0,0,0,0,0x0
4150946765,20,5427,9,0x00,0,,,,5208,21,,,tx
4150947210,20,5427,9,0x00,0,,,,5456,22,,,tx
#WINDOW,4150947611,0,0,7997,0,0,0,0,0x0
4150947656,20,5427,9,0x00,0,,,,5704,23,,,tx
4150948096,20,5427,9,0x00,0,,,,5952,24,,,tx
4150948542,20,5427,9,0x00,0,,,,6200,25,,,tx
#WINDOW,4150948642,0,0,7996,0,0,0,0,0x0
4150948987,20,5427,9,0x00,0,,,,6448,26,,,tx
4150949433,20,5427,9,0x00,0,,,,6696,27,,,tx
#WINDOW,4150949733,0,0,7996,0,0,0,0,0x0
4150949878,20,5427,9,0x00,0,,,,6944,28,,,tx
4150950324,20,5427,9,0x00,0,,,,7192,29,,,tx
4150950769,20,5427,9,0x00,0,,,,7440,30,,,tx
#WINDOW,4150950769,0,0,7996,0,0,0,0,0x0
4150951215,20,5427,9,0x00,0,,,,7688,31,,,tx
4150951660,20,5427,9,0x00,0,,,,7936,32,,,tx
#WINDOW,4150951861,0,0,7996,0,0,0,0,0x0
4150952106,20,5427,9,0x00,0,,,,8184,33,,,tx
4150952552,20,5427,9,0x00,0,,,,8432,34,,,tx
#WINDOW,4150952952,0,0,7996,0,0,0,0,0x0
4150952997,20,5427,9,0x00,0,,,,8680,35,,,tx
4150953443,20,5427,9,0x00,0,,,,8928,36,,,tx
4150953883,20,5427,9,0x00,0,,,,9176,37,,,tx
