# t_ms,src,dport,csp_flags,is_rdp,index,epoch,dropped
3395886927,5425,9,0x00,0,0,0,0
3395887146,5425,9,0x00,0,1,0,0
3395887364,5425,9,0x00,0,2,0,0
3395887583,5425,9,0x00,0,3,0,0
3395887802,5425,9,0x00,0,4,0,0
3395888021,5425,9,0x00,0,5,0,0
3395888240,5425,9,0x00,0,6,0,0
3395888459,5425,9,0x00,0,7,0,1
3395888673,5425,9,0x00,0,8,0,1
3395888886,5425,9,0x00,0,9,0,1
3395889100,5425,9,0x00,0,10,0,1
3395889313,5425,9,0x00,0,11,0,1
3395889527,5425,9,0x00,0,12,0,1
3395889741,5425,9,0x00,0,13,0,1
3395889954,5425,9,0x00,0,14,0,1
3395890168,5425,9,0x00,0,15,0,1
3395890381,5425,9,0x00,0,16,0,1
3395890595,5425,9,0x00,0,17,0,1
3395890808,5425,9,0x00,0,18,0,1
3395891022,5425,9,0x00,0,19,0,1
3395891235,5425,9,0x00,0,20,0,1
3395891449,5425,9,0x00,0,21,0,1
3395891662,5425,9,0x00,0,22,0,1
3395891876,5425,9,0x00,0,23,0,1
3395892090,5425,9,0x00,0,24,0,1
3395892303,5425,9,0x00,0,25,0,1
3395892517,5425,9,0x00,0,26,0,0
3395892736,5425,9,0x00,0,27,0,0
3395892955,5425,9,0x00,0,28,0,0
3395893174,5425,9,0x00,0,29,0,0
3395893393,5425,9,0x00,0,30,0,0
3395893612,5425,9,0x00,0,31,0,0
3395893831,5425,9,0x00,0,32,0,0
3395894050,5425,9,0x00,0,33,0,0
3395894269,5425,9,0x00,0,34,0,0
3395894488,5425,9,0x00,0,35,0,0
3395894707,5425,9,0x00,0,36,0,0
3395894926,5425,9,0x00,0,37,0,0
3395895145,5425,9,0x00,0,38,0,1
3395895358,5425,9,0x00,0,39,0,1
3395895572,5425,9,0x00,0,40,0,1
3395895785,5425,9,0x00,0,41,0,0
3395896004,5425,9,0x00,0,42,0,1
3395896218,5425,9,0x00,0,43,0,1
3395896431,5425,9,0x00,0,44,0,0
3395896650,5425,9,0x00,0,45,0,0
3395896869,5425,9,0x00,0,46,0,0
3395897088,5425,9,0x00,0,47,0,0
3395897307,5425,9,0x00,0,48,0,0
3395897526,5425,9,0x00,0,49,0,0
3395897745,5425,9,0x00,0,50,0,0
3395897964,5425,9,0x00,0,51,0,0
3395898183,5425,9,0x00,0,52,0,1
3395898397,5425,9,0x00,0,53,0,1
3395898610,5425,9,0x00,0,54,0,1
3395898824,5425,9,0x00,0,55,0,0
3395899042,5425,9,0x00,0,56,0,0
3395899261,5425,9,0x00,0,57,0,1
3395899475,5425,9,0x00,0,58,0,0
3395899694,5425,9,0x00,0,59,0,1
3395899907,5425,9,0x00,0,60,0,1
3395900121,5425,9,0x00,0,61,0,0
3395900340,5425,9,0x00,0,62,0,0
3395900559,5425,9,0x00,0,63,0,0
3395900778,5425,9,0x00,0,64,0,0
3395900997,5425,9,0x00,0,65,0,0
3395901216,5425,9,0x00,0,66,0,0
3395901435,5425,9,0x00,0,67,0,1
3395901648,5425,9,0x00,0,68,0,1
3395901862,5425,9,0x00,0,69,0,1
3395902075,5425,9,0x00,0,70,0,0
3395902294,5425,9,0x00,0,71,0,0
3395902513,5425,9,0x00,0,72,0,0
3395902732,5425,9,0x00,0,73,0,0
3395902951,5425,9,0x00,0,74,0,0
3395903170,5425,9,0x00,0,75,0,0
