# t_ms,src,dport,csp_flags,is_rdp,index,epoch,dropped
3491948556,5425,9,0x00,0,49,0,0
3491948988,5425,9,0x00,0,50,0,0
3491949420,5425,9,0x00,0,51,0,0
3491949852,5425,9,0x00,0,52,0,0
3491950285,5425,9,0x00,0,53,0,0
3491950717,5425,9,0x00,0,54,0,1
3491951144,5425,9,0x00,0,55,0,1
3491951571,5425,9,0x00,0,56,0,1
3491951998,5425,9,0x00,0,57,0,1
3491952425,5425,9,0x00,0,58,0,1
3491952852,5425,9,0x00,0,59,0,0
3491953284,5425,9,0x00,0,60,0,0
3491953716,5425,9,0x00,0,61,0,0
3491954149,5425,9,0x00,0,62,0,0
3491954581,5425,9,0x00,0,63,0,1
3491955008,5425,9,0x00,0,64,0,1
3491955435,5425,9,0x00,0,65,0,1
3491955862,5425,9,0x00,0,198,0,1
3491956289,5425,9,0x00,0,199,0,1
3491956716,5425,9,0x00,0,200,0,0
3491957148,5425,9,0x00,0,201,0,0
3491957580,5425,9,0x00,0,202,0,0
3491958012,5425,9,0x00,0,203,0,0
3491958445,5425,9,0x00,0,204,0,0
3491958877,5425,9,0x00,0,205,0,0
3491959310,5425,9,0x00,0,206,0,0
3491959742,5425,9,0x00,0,207,0,0
3491960174,5425,9,0x00,0,208,0,0
3491960606,5425,9,0x00,0,209,0,0
3491961039,5425,9,0x00,0,210,0,0
3491961471,5425,9,0x00,0,211,0,0
3491961903,5425,9,0x00,0,212,0,0
3491962335,5425,9,0x00,0,213,0,0
3491962768,5425,9,0x00,0,214,0,0
3491963200,5425,9,0x00,0,215,0,0
3491963632,5425,9,0x00,0,216,0,0
3491964065,5425,9,0x00,0,217,0,0
3491964497,5425,9,0x00,0,218,0,0
3491964929,5425,9,0x00,0,219,0,0
3491965361,5425,9,0x00,0,220,0,0
3491965794,5425,9,0x00,0,221,0,0
3491966226,5425,9,0x00,0,222,0,0
3491966658,5425,9,0x00,0,223,0,0
3491967091,5425,9,0x00,0,224,0,1
3491967518,5425,9,0x00,0,225,0,1
3491967944,5425,9,0x00,0,226,0,1
3491968371,5425,9,0x00,0,227,0,1
3491968798,5425,9,0x00,0,228,0,1
