# t_ms,src,dport,csp_flags,is_rdp,index,epoch,dropped
3560736339,5425,9,0x00,0,0,0,0
3560736771,5425,9,0x00,0,1,0,0
3560737203,5425,9,0x00,0,2,0,0
3560737635,5425,9,0x00,0,3,0,0
3560738067,5425,9,0x00,0,4,0,0
3560738499,5425,9,0x00,0,5,0,0
3560738932,5425,9,0x00,0,6,0,0
3560739364,5425,9,0x00,0,7,0,0
3560739796,5425,9,0x00,0,8,0,0
3560740228,5425,9,0x00,0,9,0,0
3560740661,5425,9,0x00,0,10,0,0
3560741093,5425,9,0x00,0,11,0,0
3560741525,5425,9,0x00,0,12,0,0
3560741958,5425,9,0x00,0,13,0,0
3560742390,5425,9,0x00,0,14,0,0
3560742822,5425,9,0x00,0,15,0,0
3560743254,5425,9,0x00,0,16,0,0
3560743687,5425,9,0x00,0,17,0,1
3560744114,5425,9,0x00,0,18,0,1
3560744541,5425,9,0x00,0,19,0,1
3560744967,5425,9,0x00,0,20,0,1
3560745394,5425,9,0x00,0,21,0,0
3560745827,5425,9,0x00,0,22,0,0
3560746259,5425,9,0x00,0,23,0,0
3560746691,5425,9,0x00,0,24,0,0
3560747123,5425,9,0x00,0,25,0,0
3560747556,5425,9,0x00,0,26,0,0
3560747988,5425,9,0x00,0,27,0,0
3560748420,5425,9,0x00,0,28,0,0
3560748853,5425,9,0x00,0,29,0,0
3560749285,5425,9,0x00,0,30,0,0
3560749717,5425,9,0x00,0,31,0,0
3560750149,5425,9,0x00,0,32,0,0
3560750582,5425,9,0x00,0,33,0,0
3560751014,5425,9,0x00,0,34,0,0
3560751446,5425,9,0x00,0,35,0,0
3560751879,5425,9,0x00,0,36,0,0
3560752311,5425,9,0x00,0,37,0,0
3560752743,5425,9,0x00,0,38,0,0
3560753176,5425,9,0x00,0,39,0,0
3560753608,5425,9,0x00,0,40,0,0
3560754040,5425,9,0x00,0,41,0,0
3560754473,5425,9,0x00,0,42,0,0
3560754905,5425,9,0x00,0,43,0,0
