label,arm,loss,seed,verdict,reason,ext_sha,board_bytes,groundtruth_sha,probes_used,ts_utc
rollback_step1_A,smart,0,0,PASS,,2c1fa79ab2799d2fd1f2a0ff35c6f369d8cd7625b8d636c9528044641a628ba5,262144,2c1fa79ab2799d2fd1f2a0ff35c6f369d8cd7625b8d636c9528044641a628ba5,1,2026-08-18T05:40:12Z
rollback_step2_B,smart,0,0,PASS,,e7163f41d5ca0af82555a3dafd8e132e901a7f1626d7bf47fa084a6ec0422363,,e7163f41d5ca0af82555a3dafd8e132e901a7f1626d7bf47fa084a6ec0422363,1,2026-08-18T05:40:27Z
rollback_step3_afterRollback,smart,0,0,PASS,,2c1fa79ab2799d2fd1f2a0ff35c6f369d8cd7625b8d636c9528044641a628ba5,262144,2c1fa79ab2799d2fd1f2a0ff35c6f369d8cd7625b8d636c9528044641a628ba5,1,2026-08-18T05:40:31Z
