arm,loss,seed,label,passes,total_injected,total_dropped,overhead_ratio,result,ext_sha,board_bytes,rev_frames,rev_per_pass,rate_bps,ts
smart,0,1,smart_L0_s1,1,1058,0,1.00,DEPLOYED,MATCH,262144,3,3,9600,2026-08-16T10:08:08Z
smart,0.10,1,smart_L0.10_s1,1,1177,119,1.11,DEPLOYED,MATCH,262144,5,5,9600,2026-08-16T10:13:17Z
smart,0.10,2,smart_L0.10_s2,1,1128,70,1.07,DEPLOYED,MATCH,262144,5,5,9600,2026-08-16T10:18:23Z
smart,0.10,3,smart_L0.10_s3,1,1132,74,1.07,DEPLOYED,MATCH,262144,5,5,9600,2026-08-16T10:23:22Z
smart,0.30,1,smart_L0.30_s1,3,3157,897,2.98,DEPLOYED,MATCH,262144,24,11;5;8,9600,2026-08-16T10:38:09Z
smart,0.30,2,smart_L0.30_s2,2,1498,415,1.42,DEPLOYED,MATCH,262144,14,9;5,9600,2026-08-16T10:46:23Z
smart,0.30,3,smart_L0.30_s3,2,1680,517,1.59,DEPLOYED,MATCH,262144,13,7;6,9600,2026-08-16T10:55:23Z
