arm,loss,seed,label,passes,total_injected,total_dropped,overhead_ratio,result,ext_sha,board_bytes,rate_bps,ts
smart,0,1,smart_L0_s1,1,1058,0,1.00,DEPLOYED,MATCH,262144,9600,2026-08-14T07:49:07Z
smart,0,2,smart_L0_s2,1,1058,0,1.00,DEPLOYED,MATCH,262144,9600,2026-08-14T07:53:33Z
smart,0,3,smart_L0_s3,1,1058,0,1.00,DEPLOYED,MATCH,262144,9600,2026-08-14T08:19:01Z
smart,0.10,1,smart_L0.10_s1,1,1177,119,1.11,DEPLOYED,MATCH,262144,9600,2026-08-14T08:24:00Z
smart,0.10,2,smart_L0.10_s2,1,1128,70,1.07,DEPLOYED,MATCH,262144,9600,2026-08-14T08:28:52Z
smart,0.10,3,smart_L0.10_s3,1,1132,74,1.07,DEPLOYED,MATCH,262144,9600,2026-08-14T08:33:45Z
smart,0.30,1,smart_L0.30_s1,3,3156,897,2.98,DEPLOYED,MATCH,262144,9600,2026-08-14T08:48:36Z
smart,0.30,2,smart_L0.30_s2,2,2357,672,2.23,DEPLOYED,MATCH,262144,9600,2026-08-14T08:59:37Z
smart,0.30,3,smart_L0.30_s3,2,1680,517,1.59,DEPLOYED,MATCH,262144,9600,2026-08-14T09:08:32Z
