loss,seed,injected,dropped,claimed,sha,size,transport,payload_sha256,ts
0.30,1,303,62,DELIVERED,MISMATCH,32768,zmq,cb64ca2e247f110c9c3d83485abb51058a96fe91c7007e4ea27f6dead804a6ef,2026-07-29T11:27:24Z
0.30,2,306,88,DELIVERED,MATCH,32768,zmq,cb64ca2e247f110c9c3d83485abb51058a96fe91c7007e4ea27f6dead804a6ef,2026-07-29T11:28:03Z
0.30,3,359,121,DELIVERED,MATCH,32768,zmq,cb64ca2e247f110c9c3d83485abb51058a96fe91c7007e4ea27f6dead804a6ef,2026-07-29T11:28:50Z
