loss,seed,injected,dropped,claimed,sha,size,transport,harness,payload_sha256,ts
0,1,1370,0,DELIVERED,MATCH,262144,zmq,clean;dup_in=458,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-31T08:07:45Z
0,2,1370,0,DELIVERED,MATCH,262144,zmq,clean;dup_in=457,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-31T08:08:01Z
0,3,1370,0,DELIVERED,MATCH,262144,zmq,clean;dup_in=456,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-31T08:08:17Z
0.02,1,1458,57,DELIVERED,MATCH,262144,zmq,clean;dup_in=497,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-31T08:08:49Z
0.02,2,1435,35,DELIVERED,MATCH,262144,zmq,clean;dup_in=483,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-31T08:09:17Z
0.02,3,1431,35,DELIVERED,MATCH,262144,zmq,clean;dup_in=482,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-31T08:09:44Z
0.05,1,1510,89,DELIVERED,MATCH,262144,zmq,clean;dup_in=519,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-31T08:10:25Z
0.05,2,1486,58,DELIVERED,MATCH,262144,zmq,clean;dup_in=507,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-31T08:11:01Z
0.05,3,1554,100,DELIVERED,MATCH,262144,zmq,clean;dup_in=536,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-31T08:11:50Z
0.10,1,1645,179,DELIVERED,MATCH,262144,zmq,clean;dup_in=583,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-31T08:12:54Z
0.10,2,1594,139,DELIVERED,MATCH,262144,zmq,clean;dup_in=560,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-31T08:13:51Z
0.10,3,1758,235,DELIVERED,MATCH,262144,zmq,clean;dup_in=635,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-31T08:15:14Z
0.20,1,2071,460,DELIVERED,MATCH,262144,zmq,clean;dup_in=777,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-31T08:17:32Z
0.20,2,2118,476,DELIVERED,MATCH,262144,zmq,clean;dup_in=792,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-31T08:20:12Z
0.20,3,2154,459,DELIVERED,MISMATCH,262144,zmq,clean;dup_in=811,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-31T08:22:59Z
0.30,1,2459,735,DELIVERED,MISMATCH,262144,zmq,clean;dup_in=970,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-31T08:26:37Z
0.30,2,2778,941,DELIVERED,MATCH,262144,zmq,clean;dup_in=1114,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-31T08:30:56Z
0.30,3,2706,859,DELIVERED,MISMATCH,262144,zmq,clean;dup_in=1074,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-31T08:35:15Z
